QUESTION,BT LEVEL
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,Remembering
Identify SIX (6) factors to be considered when designing layout. ,Remembering
“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,Evaluating
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan. ,Understanding
Explain the purpose of human communication process. ,Understanding
Label the human communication process diagram below.,Remembering
Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,Understanding
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,Remembering
Explain the reasons of using a mixed-media approach by advertisers. ,Understanding
"Marketers theorize that just as humans pass through stages in life from infancy to old age, products also pass through a product life cycle. Explain all FOUR (4) stages of a product life cycle. ",Understanding
Explain briefly the effectiveness of advertising based on strategy concept. ,Understanding
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",Understanding
Explain FIVE (5) advantages of out-of-home (OOH) advertising.,Understanding
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,Understanding
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,Understanding
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,Remembering
Explain the psychological factors which influence consumer behavior. ,Understanding
Discuss the negative effects of advertising on children. ,Understanding
Identify FIVE (5) key players in advertising. ,Remembering
List SEVEN (7) types of advertising. ,Remembering
Identify FOUR (4) factors that influence consumer behaviour. ,Remembering
List FIVE (5) basic types of research.,Remembering
Describe the SEVEN (7) advantages of radio advertising. ,Remembering
NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,Evaluating
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",Analyzing
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",Creating
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",Creating
Define FOUR (4) primary roles of advertising in business and society. ,Remembering
Define briefly the role of marketing in advertising effectiveness. ,Remembering
Explain briefly the media usage in advertising effectiveness. ,Understanding
Describe FIVE (5) key players in advertising. ,Remembering
Explain 4P's of marketing. ,Understanding
Describe consumer behaviour. ,Remembering
Explain in detail the Maslow Hierarchy of Needs. ,Understanding
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,Understanding
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,Creating
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,Creating
Define Chiaroscuro and Sfumato technique.,Remembering
Explain TWO (2) components of art. ,Understanding
Describe the Pop Art style in 1958 - 1972.,Remembering
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,Understanding
Sketch ONE (1) movement to show repetition in shape and color. ,Understanding
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",Evaluating
Define 2 dimensional and 3 dimensional designs. ,Remembering
Describe FIVE (5) categories of space.,Remembering
Describe Renaissance art style. ,Remembering
Draw ONE (1) point perspective with TWO (2) geometrical forms.,Understanding
Draw a color wheel diagram with primary and secondary color. ,Understanding
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Understanding
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,Understanding
Write FIVE (5) types of lines. ,Remembering
List down FIVE (5) types of shapes. ,Remembering
Describe Impressionism art style. ,Remembering
Write THREE (3) categories of color. ,Remembering
Define color temperature. ,Remembering
Describe FIVE (5) techniques to achieve dominance. ,Remembering
Draw similar repetition and interval repetition. ,Understanding
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,Understanding
Describe color wheel. ,Remembering
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Understanding
Explain briefly 'designer' and 'professional designer'.,Understanding
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",Understanding
Explain creative brief. ,Understanding
Write down the FIVE (5) phases of the design process. ,Remembering
Explain briefly the design development process.,Understanding
Explain the conceptual design process. ,Understanding
Define problem solving processes.,Remembering
Write FOUR (4) purposes of poster. ,Remembering
Identify FIVE (5) problem solving processes. ,Remembering
Explain FIVE (5) phases of graphic design process. ,Understanding
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,Understanding
Define graphic design and product design. ,Remembering
Explain the importance of visual in a poster design. ,Understanding
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature. ,Understanding
Draw a front and back for business card layout. ,Understanding
Draw a Picture Window layout design. ,Understanding
Draw TWO (2) logo design for food and beverage products. ,Understanding
Describe graphic design and product design. ,Remembering
Explain the process of ideas generation. ,Understanding
Explain briefly FIVE (5) strategies for effective packaging design. ,Understanding
Illustrate type driven layout design for a poster. ,Understanding
Explain in details FIVE (5) ways to make a brand name effective.,Understanding
Write in details FIVE (5) phases of design process.,Understanding
Describe the meaning of 'design'. ,Remembering
Define liberal art.,Remembering
Describe graphic design. ,Remembering
Define brainstorming process. ,Remembering
Describe material gathering process. ,Remembering
Explain the meaning of creative brief.,Understanding
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,Applying
Draw a poster layout design for Healthy Life Style. ,Understanding
The structural view of language has several components. List FIVE (5) components. ,Remembering
"In about 70 words, explain how the different components function in language learning. ",Understanding
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,Remembering
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important. ,Understanding
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,Remembering
Distinguish between objectives and learning outcomes when planning a lesson. ,Analyzing
There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,Evaluating
Discuss the role of skimming and scanning as pre-reading activities. ,Understanding
List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,Understanding
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",Understanding
Discuss FIVE (5) main differences between aims and learning outcomes. ,Understanding
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",Understanding
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,Remembering
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,Remembering
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",Understanding
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",Evaluating
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",Understanding
Differentiate spoken and written language in FIVE (5) aspects. ,Analyzing
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,Understanding
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Remembering
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,Understanding
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,Understanding
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,Understanding
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,Understanding
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,Understanding
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,Evaluating
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,Analyzing
Explain FIVE (5) characteristics of social media. ,Understanding
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,Remembering
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,Understanding
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,Understanding
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,Understanding
Explain FIVE (5) key components of organization crisis definition.,Understanding
List FIVE (5) types of trick questions.,Remembering
Discuss the TWO (2) steps of Crisis Management Performance (CMP) Evaluating process. Provide an appropriate example for each step. ,Understanding
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,Understanding
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,Understanding
Identify the type of crisis based on time as a critical variable. ,Understanding
List TEN (10) components of an effective crisis communication plan.,Understanding
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,Understanding
Identify TEN (10) tips during the press conference. ,Remembering
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,Understanding
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,Understanding
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",Understanding
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,Understanding
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,Understanding
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,Analyzing
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,Understanding
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,Creating
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,Creating
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,Evaluating
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Creating
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,Creating
Describe what happens during the negative feedback loop of thermoregulation. ,Understanding
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,Understanding
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,Understanding
Suggest FOUR (4) recommendations in dealing with intersexes. ,Creating
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,Creating
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluating
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,Creating
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",Evaluating
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluating
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Creating
"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",Analyzing
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",Understanding
Define instructional materials based on your understanding. ,Remembering
List TWO (2) importance of using instructional materials in teaching.,Remembering
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,Analyzing
Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,Applying
Define instructional materials. ,Remembering
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,Remembering
Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,Analyzing
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,Understanding
Define instructional materials. Provide an example of an instructional material for a subject. ,Understanding
"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",Analyzing
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,Remembering
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,Understanding
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",Understanding
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",Understanding
Define instructional materials and provide an example of it. ,Understanding
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,Understanding
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,Understanding
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,Understanding
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,Understanding
Support your views with ONE (1) example for each disadvantage. ,Evaluating
Propose TWO (2) strategies to reduce the occurrence of bullying.,Creating
Support your views with ONE (1) example for each strategy.,Evaluating
Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,Creating
Support your answers with ONE (1) example for each factor.,Creating
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,Analyzing
Support your answers with ONE (1) example in everyday life for each theory. ,Evaluating
Identify TWO (2) types of personality that are relevant to aggression. ,Understanding
Support your answers with ONE (1) example from everyday life for each type of personality. ,Evaluating
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,Analyzing
Support your answers with ONE (1) example in everyday life for each strategy. ,Evaluating
Define schemas. ,Remembering
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Analyzing
Define attitudes. ,Remembering
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Evaluating
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",Evaluating
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,Creating
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,Creating
Propose TWO (2) self-presentation tactics for impression management. ,Creating
Support your views with TWO (2) examples in everyday life for each tactic. ,Evaluating
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,Creating
Support your views with TWO (2) examples from everyday life for each origins. ,Evaluating
Propose TWO (2) strategies to resist persuasion. ,Creating
Support your answers with TWO (2) examples in everyday life for each strategy. ,Evaluating
Define attribution. ,Remembering
Explain TWO theories of causal attribution that was proposed by Jones and Davis (1965) and Kelley (1972). ,Understanding
Support your answers with ONE (1) example in everyday life for EACH theory. ,Evaluating
Define prosocial behaviors. ,Remembering
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors. ,Understanding
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,Evaluating
Define prejudice. ,Remembering
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,Remembering
Support your answers with ONE (1) example in everyday life for EACH perspective. ,Evaluating
List down the environmental factors that an international marketer should consider. ,Remembering
Define the Demographic characteristics.,Remembering
The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,Understanding
Discuss political risk in the Political-Legal Environment of the Host Country. ,Understanding
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,Understanding
Explain THREE (3) data collection challenges in advertising research.,Understanding
Explain on global and local approach in coordinating and controlling the international advertising.,Understanding
Describe the advantages of Product Standardization. ,Remembering
Explain the Mandatory of Product Adaptation. ,Understanding
Explain the consideration of pricing objectives in marketing mix. ,Understanding
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,Understanding
Discuss the relationship between advertising and children. ,Understanding
Discuss the impact of advertising on children. ,Understanding
Identify and explain FIVE (5) countries that ban advertising to children. ,Understanding
Explain the function of International Monetary Fund (IMF). ,Understanding
Explain on Brand Piracy. ,Understanding
Explain the packaging and labeling decisions. ,Understanding
Explain the anti-advertising consumer organizations culture. ,Understanding
Explain the effect of stereotyping young teenage in advertising on society. ,Understanding
Describe the Concept of Culture.,Remembering
Illustrate TWO (2) Implications for International Advertisers ,Understanding
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,Evaluating
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",Understanding
Explain FIVE (5) reasons for the importance of global markets to marketers. ,Understanding
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,Understanding
Explain THREE (3) waves of globalisation. ,Understanding
Describe the challenges in global advertising. ,Remembering
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",Understanding
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,Understanding
Identify the role of advertising in global women's magazines and local women's magazine. ,Understanding
Describe the function of International Monetary Fund (IMF).,Remembering
Identify THREE (3) classification system of economy. ,Remembering
Summarise the challenges of global advertising. ,Understanding
Identify any FIVE (5) significances of nonverbal communication in organization. ,Remembering
Explain formal network. ,Understanding
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,Understanding
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication. ,Understanding
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",Remembering
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,Remembering
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,Remembering
Define organizational culture according to Schein (1990). ,Remembering
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",Understanding
Draw and label the model of Karl Weick's Theory of Organizing. ,Understanding
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,Remembering
List FIVE (5) elements in downward communication.,Remembering
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base. ,Evaluating
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",Understanding
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,Understanding
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,Evaluating
Hersey and Blanchard (1977) style of leadership specifies that a leader's behavior corresponds to employees' level of maturity. Explain the FOUR (4) styles of Situational Leadership and support your answer with an example for each of the styles on whom they should be applied in an organization. ,Understanding
Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,Evaluating
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,Evaluating
Explain distributive bargaining and integrative bargaining. ,Understanding
Discuss THREE (3) factors influencing the conflict management process. Support each of your answers with ONE (1) relevant example. ,Evaluating
Explain TWO characteristics of rich media. ,Understanding
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer. ,Understanding
Define Classical approach and Human Relations approach. ,Remembering
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",Applying
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",Understanding
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,Understanding
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,Understanding
Compare any FIVE (5) differences between formal networks and informal networks. ,Analyzing
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,Understanding
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,Understanding
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",Remembering
Generalize FIVE (5) ways to use digital photography in classroom teaching and learning.,Evaluating
Analyze FIVE (5) disadvantages of multimedia in education. ,Analyzing
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,Understanding
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",Understanding
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",Evaluating
Define the basic concepts involved in incorporating technology in teaching English language at secondary school level. ,Understanding
Illustrate with example the FOUR (4) advantages of photography. ,Understanding
Categorize FIVE (5) advantages of multimedia in primary school education. ,Understanding
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,Understanding
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Understanding
Evaluate your sketch with ADDIE's model procedure. ,Evaluating
Draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Understanding
Evaluate your sketch with ASSURE's model procedure. ,Evaluating
"Technology has been used in most schools since the 90s, but it still has some interruptions. Validate the top FOUR (4) problematic issues with technology in education today. ",Evaluating
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,Understanding
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,Understanding
Describe the 5 hierarchical stages of Welliver's Instructional Transformation Model. ,Remembering
Explain FOUR (4) advantages of using multimedia in classroom. ,Understanding
Interpret FIVE (5) emerging trends of technology Applying in education. ,Understanding
"Draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students, aged 10. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Understanding
Evaluate your sketch with ADDIE's model procedure.,Evaluating
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Understanding
Evaluate your sketch with ASSURE's model procedure. ,Evaluating
Define the basic concepts of Educational Technology. ,Remembering
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",Understanding
Categorize the basic concepts of multimedia with an example for each. ,Understanding
Analyze FOUR (4) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning. ,Analyzing
Define Educational Technology based on FIVE (5) instructional design view. ,Remembering
Relate FIVE (5) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom. ,Analyzing
Explain all the elements of multimedia with examples. ,Understanding
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,Understanding
Explain the term inflation as used in building economics. ,Understanding
Outline TWO (2) main causes of inflation. ,Understanding
Elaborate the term of national income as used in building economics.,Understanding
Explain FIVE (5) characteristics of the construction sector. ,Understanding
Sketch a diagram to illustrate the activities and products in the construction industry. ,Applying
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,Understanding
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples. ,Understanding
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,Understanding
"Your profit from previous project is RM30,000.00 and you just won a new project to construct a new airport runway at Sepang, Selangor. Decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. Use the concept of opportunities cost, choices and scarcity to aid your explanation. ",Applying
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,Analyzing
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,Understanding
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,Understanding
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,Analyzing
Analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.,Creating
Explain the basic concepts in construction economics as introduced by Myers (2017).,Understanding
The construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. Discuss.,Analyzing
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",Understanding
Calculate the market demand and market supply in table form. ,Applying
Draw the market demand and supply curve. ,Understanding
Describe SIX (6) factors that are affecting supply in the construction industry. ,Understanding
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,Applying
Explain THREE (3) difficulties in calculating national income accounting. ,Understanding
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,Understanding
National income can be calculated using three approaches. State the THREE (3) approaches.,Remembering
Calculate the market demand and market supply in table form. ,Applying
Draw the ‘market demand' and 'supply curve'. ,Understanding
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment. ",Analyzing
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,Understanding
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,Remembering
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",Understanding
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",Understanding
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",Understanding
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",Understanding
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'. ,Analyzing
"Define and list out the objectives of monetary policy, the quantitative versus qualitative instruments of monetary policy.",Remembering
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,Understanding
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,Understanding
Identify and describe THREE (3) difficulties in calculating national income accounting.,Understanding
State the THREE (3) approaches to calculate national income.,Remembering
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,Understanding
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,Understanding
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,Understanding
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,Understanding
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",Creating
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,Understanding
Briefly list the different types of building maintenance. ,Remembering
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",Remembering
Discuss FOUR (4) common modern construction problems to anticipate. ,Understanding
"Propose a suitable preparatory demolition survey, method and shoring where some partial demolition work is included for the rear building portion. ",Creating
Describe the factors affecting premature building decay. ,Understanding
Provide the objectives of building maintenance. ,Understanding
"Design a sketch section of the floor slab adjoining the parapet that includes the scupper drain, drain guard, water proofing layer, and protective topping. ",Creating
"Propose solutions to reinforced concrete flat roof defects experienced in Malaysia, such as water ponding, material exposure to solar radiation, poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks. ",Creating
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure. ,Analyzing
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,Understanding
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,Understanding
